Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass3,Grass0,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass1,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass2,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass1,Grass0,Grass0,Grass0,Grass0,Grass0
Grass0,Grass0,MountainGrass2,Grass2,Grass0,Grass0,Grass0,Grass0,Grass0,TreeGrass1,Grass0,Grass0,Grass0
Grass0,Grass0,MountainGrass2,Grass0,Grass0,Grass0,Grass0,Water3,Grass0,Grass0,Grass0,Grass0,Grass2
Grass0,MountainGrass3,MountainGrass3,Grass0,Grass0,Grass0,Grass0,Water3,Grass0,Grass0,Grass0,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Water4,Grass0,Water3,Grass0,Grass0,Grass0,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Water4,Grass0,Grass0,Grass0,Grass0,MountainGrass2,MountainGrass1,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Water4,Grass0,Grass0,Grass0,Grass0,MountainGrass2,Grass0,Grass0
Grass2,Grass0,Grass0,TreeGrass2,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass3,Grass0,Grass0,Grass0,Grass1,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Grass1,Grass0,Grass0,Grass3,Grass0,Grass0,Grass0,Grass0
Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0,Grass0
